diam[nm],	phi	charge	MeanR[nm]	U(<r>)	U(r_FCC)	2pi/MeanR	Salt[然]	T[K]	Eps.	Lb[nm]	kappa[1/nm]	q_max[1/nm]	Sq_max	r_max[nm]	gr_max	S(0)	Contact_value	alpha	dr[diam]	U(rm)	r_dip[nm]	Nn	gr_dip	lambda	T~
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.0348552798425585	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.0707106781186547	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.270E+01
27.2158000034875	0.15	2000	   41.28480	 1.209E-02	 1.811E-04	   0.1521912	0.143450289958509	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.271E+01
27.2158000034875	0.15	2000	   41.28480	 1.208E-02	 1.811E-04	   0.1521912	0.291016664479583	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.335E+01	 8.271E+01
27.2158000034875	0.15	2000	   41.28480	 1.208E-02	 1.811E-04	   0.1521912	0.590383602774996	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9346E-01	 3.336E+01	 8.272E+01
27.2158000034875	0.15	2000	   41.28480	 1.208E-02	 1.810E-04	   0.1521912	1.19770735139478	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.856E+01	 2.284E+00	 6.230E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.170E-01	 5.8603E+01	 1.117E+01	 7.9347E-01	 3.336E+01	 8.273E+01
27.2158000034875	0.15	2000	   41.28480	 1.208E-02	 1.810E-04	   0.1521912	2.42978106580612	293.16	36.7	 1.553859	 8.080E-01	 1.792E-01	 1.735E+00	 3.847E+01	 2.284E+00	 6.231E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.253E-01	 5.8603E+01	 1.117E+01	 7.9348E-01	 3.336E+01	 8.276E+01
27.2158000034875	0.15	2000	   41.28480	 1.207E-02	 1.808E-04	   0.1521912	4.92928094736557	293.16	36.7	 1.553859	 8.081E-01	 1.792E-01	 1.735E+00	 3.847E+01	 2.284E+00	 6.232E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.252E-01	 5.8603E+01	 1.117E+01	 7.9350E-01	 3.336E+01	 8.282E+01
27.2158000034875	0.15	2000	   41.28480	 1.205E-02	 1.804E-04	   0.1521912	9.99999999999998	293.16	36.7	 1.553859	 8.082E-01	 1.792E-01	 1.734E+00	 3.847E+01	 2.284E+00	 6.233E-02	 0.000E+00	 2.256E-01	0.0303388472833499	 1.250E-01	 5.8603E+01	 1.117E+01	 7.9354E-01	 3.336E+01	 8.293E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	5e-4	293.16	36.7	 1.553859	 6.413E-01	 1.523E-01	 1.834E+00	 4.566E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.270E-01	0.0260077942803499	 1.451E-01	 6.8574E+01	 1.150E+01	 7.6881E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	0.00101434672792838	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	0.00205779856891804	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	0.00417464249023545	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	0.00846906990048226	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	0.0171811466843019	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.771E-02	 5.620E-04	   0.1304650	0.0348552798425585	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.770E-02	 5.620E-04	   0.1304650	0.0707106781186547	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.770E-02	 5.620E-04	   0.1304650	0.143450289958509	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.608E+01
31.748021039364	0.15	2000	   48.15992	 2.770E-02	 5.619E-04	   0.1304650	0.291016664479583	293.16	36.7	 1.553859	 6.413E-01	 1.524E-01	 1.834E+00	 4.565E+01	 2.389E+00	 5.331E-02	 0.000E+00	 2.271E-01	0.0303388484846265	 1.456E-01	 6.8579E+01	 1.148E+01	 7.6900E-01	 3.088E+01	 3.609E+01
